,category,description,link,id,updated_at,price,type,name,created_at
827,Home & Office/Home & Kitchen/Lighting & Ceiling Fans/Lamps & Lighting/Table Lamps,"Generic Wrought Iron Nordic LED Table Lamp-Use BatteryKSh 2,199KSh 3,00027%",https://www.jumia.co.ke/generic-wrought-iron-nordic-led-table-lamp-use-battery-88024702.html,d2561b34-0f44-4332-be90-5ee1e52fa912,2023-10-22T13:54:06,"KSh 2,199",lamps,Generic Wrought Iron Nordic LED Table Lamp-Use Battery,2023-10-22T13:54:06
828,Electronics/Television & Video/Televisions/Smart TVs,"LG 43” FULL HD SMART TV, NETFLIX, YOUTUBE 43LM6300PVBKSh 47,990KSh 59,00019%",https://www.jumia.co.ke/43-full-hd-smart-tv-active-hdr-netflix-43lm6370-lg-mpg603486.html,d295430f-3724-4ae8-995a-b3dd518ab9f0,2023-10-24T14:52:05,"KSh 47,990",lg+tv+43,LG 43” FULL HD SMART TV,2023-10-24T14:52:05
829,Electronics/Television & Video/Televisions/Smart TVs,"LG 43” 4K ULTRA HD SMART TV, MAGIC REMOTE, NETFLIX 43UN73KSh 49,500KSh 60,00018%offers from",https://www.jumia.co.ke/43-4k-ultra-hd-smart-tv-magic-remote-netflix-43un73-lg-mpg1290970.html,d2aa248d-5b84-4245-98f6-43bf26c10125,2023-10-24T15:30:01,"KSh 49,500",lg+tv+43,LG 43” 4K ULTRA HD SMART TV,2023-10-24T15:30:01
830,Electronics/Television & Video/Televisions/Smart TVs,"LG 43"" FULL HD 1080P SMART TV, ACTIVE HDR, NETLIX, WEB BROWSER-43LM6370PVAKSh 46,999KSh 59,00020%",https://www.jumia.co.ke/lg-43-full-hd-1080p-smart-tv-active-hdr-netlix-web-browser-43lm6370pva-67964094.html,d2e22306-6b30-49d1-b5d9-797ef9969766,2023-10-24T15:30:01,"KSh 46,999",lg+tv+43,"LG 43"" FULL HD 1080P SMART TV",2023-10-24T15:30:01
831,Electronics/Television & Video/Televisions/Smart TVs,"LG 43"" 4K 2022 LATEST MODEL,ALEXA VOICE CONTROL,MAGIC REMOTE,NETFLIX-43UQ80006KSh 60,000KSh 72,00017%",https://www.jumia.co.ke/lg-43-4k-2022-latest-modelalexa-voice-controlmagic-remotenetflix-43uq80006-160578427.html,d2fa111c-2705-4254-b01b-d7b14919912a,2023-10-23T20:51:33,"KSh 60,000",lg+tv+43,"LG 43"" 4K 2022 LATEST MODEL",2023-10-23T20:51:33
832,Computing/Computer Accessories/USB Gadgets/USB Lamps,"Dp Light LED Rechargeable Lamp Bulb With USB - 2 PcsKSh 870 - KSh 1,6004.2 out of 5(6)",https://www.jumia.co.ke/dp-light-led-rechargeable-lamp-bulb-with-usb-2-pcs-123210891.html,d300f5f5-8be1-4fc8-8d92-1396750fd092,2023-10-22T13:49:55,"KSh 870 - KSh 1,600",bulbs,Dp Light LED Rechargeable Lamp Bulb With USB - 2 Pcs,2023-10-22T13:49:55
833,Phones & Tablets/Mobile Phones/Smartphones/Android Phones,"Huawei Nova Y61,Disp 6.52"" //128GB ROM+4GB RAM //Dual SIM //50MP //5000mAh /Ksly -BKSh 23,999KSh 24,9994%",https://www.jumia.co.ke/huawei-nova-y61disp-6.52-128gb-rom4gb-ram-dual-sim-50mp-5000mah-ksly-b-150993745.html,d3419835-0bb4-4e1f-893e-94ea9937c917,2023-10-24T17:51:25,"KSh 23,999",huawei+y6,Huawei Nova Y61,2023-10-24T17:51:25
834,Electronics/Television & Video/Televisions/Smart TVs,"LG 43” 4K ULTRA HD SMART TV, MAGIC REMOTE, NETFLIX 43UN73KSh 49,500KSh 60,00018%offers from",https://www.jumia.co.ke/43-4k-ultra-hd-smart-tv-magic-remote-netflix-43un73-lg-mpg1290970.html,d36bc33e-9550-4519-b410-f0fc7d8ab4a0,2023-10-24T14:51:38,"KSh 49,500",lg+tv+43,LG 43” 4K ULTRA HD SMART TV,2023-10-24T14:51:38
835,Phones & Tablets/Mobile Phones/Smartphones/Android Phones,"Huawei Nova Y61,6.52"" //128GB+4GB RAM //Dual SIM //50MP //5000mAh /Ksly +FREE BUDS+PHKSh 24,899KSh 24,9991%",https://www.jumia.co.ke/huawei-nova-y616.52-128gb4gb-ram-dual-sim-50mp-5000mah-ksly-free-budsph-150993782.html,d39e62d9-0002-4880-b4e6-e885fca4b6f8,2023-10-22T14:23:03,"KSh 24,899",huawei+y6,Huawei Nova Y61,2023-10-22T14:23:03
836,Electronics/Television & Video/Televisions/Smart TVs,"LG 43UP77 43"" 4K UHD Smart TV With Magic RemoteKSh 66,000KSh 80,00018%offers from",https://www.jumia.co.ke/43up77-43-4k-uhd-smart-tv-with-magic-remote-lg-mpg603438.html,d3acfa5a-8a7c-48be-af05-278642d900fc,2023-10-24T14:52:06,"KSh 66,000",lg+tv+43,"LG 43UP77 43"" 4K UHD Smart TV With Magic Remote",2023-10-24T14:52:06
